data,time,ticker,open,high,low,close,volume
20200227,0522,BTCUSDT,8857.53000000,8859.92000000,8850.05000000,8856.56000000,24.35285100
20200227,0523,BTCUSDT,8856.56000000,8859.97000000,8851.96000000,8858.63000000,15.29827500
20200227,0524,BTCUSDT,8858.64000000,8860.52000000,8852.07000000,8859.14000000,40.24350600
20200227,0525,BTCUSDT,8859.16000000,8860.00000000,8855.13000000,8857.74000000,16.20213500
20200227,0526,BTCUSDT,8857.69000000,8858.00000000,8843.64000000,8846.19000000,40.34524300
20200227,0527,BTCUSDT,8846.19000000,8858.00000000,8843.65000000,8854.13000000,36.20055200
20200227,0528,BTCUSDT,8854.25000000,8864.00000000,8850.00000000,8862.46000000,37.49233000
20200227,0529,BTCUSDT,8863.08000000,8863.08000000,8855.16000000,8861.67000000,21.42683200
20200227,0530,BTCUSDT,8861.68000000,8861.68000000,8855.68000000,8856.10000000,14.37270900
20200227,0531,BTCUSDT,8857.21000000,8858.40000000,8831.79000000,8835.75000000,57.47778400
20200227,0532,BTCUSDT,8835.87000000,8838.05000000,8830.00000000,8834.79000000,35.70802600
20200227,0533,BTCUSDT,8833.26000000,8834.47000000,8824.02000000,8827.04000000,28.45768000
20200227,0534,BTCUSDT,8827.04000000,8834.00000000,8824.20000000,8833.59000000,44.62704800
20200227,0535,BTCUSDT,8833.95000000,8844.91000000,8832.93000000,8838.83000000,31.90189500
20200227,0536,BTCUSDT,8838.71000000,8841.80000000,8834.93000000,8837.35000000,33.68567900
20200227,0537,BTCUSDT,8837.16000000,8838.00000000,8815.09000000,8821.55000000,48.65631700
20200227,0538,BTCUSDT,8820.51000000,8822.12000000,8809.09000000,8812.09000000,50.11196000
20200227,0539,BTCUSDT,8812.15000000,8819.95000000,8810.38000000,8816.04000000,28.06273700
20200227,0540,BTCUSDT,8815.97000000,8824.81000000,8815.97000000,8823.56000000,31.36781200
20200227,0541,BTCUSDT,8823.53000000,8827.02000000,8816.10000000,8821.76000000,18.68038100
20200227,0542,BTCUSDT,8820.99000000,8822.64000000,8812.98000000,8813.48000000,10.76892800
20200227,0543,BTCUSDT,8813.09000000,8820.00000000,8813.09000000,8818.56000000,25.46976600
20200227,0544,BTCUSDT,8818.60000000,8827.06000000,8818.34000000,8824.36000000,46.35125200
20200227,0545,BTCUSDT,8824.41000000,8829.10000000,8822.03000000,8824.60000000,15.60541100
20200227,0546,BTCUSDT,8824.71000000,8825.33000000,8820.31000000,8821.36000000,18.25143000
20200227,0547,BTCUSDT,8821.60000000,8824.80000000,8815.00000000,8815.00000000,27.07404800
20200227,0548,BTCUSDT,8815.01000000,8817.89000000,8793.02000000,8797.47000000,136.05187300
20200227,0549,BTCUSDT,8796.98000000,8799.60000000,8775.00000000,8795.58000000,167.83826900
20200227,0550,BTCUSDT,8794.43000000,8799.99000000,8776.44000000,8783.97000000,59.78418500
20200227,0551,BTCUSDT,8783.00000000,8797.12000000,8781.31000000,8792.65000000,51.79441000
20200227,0552,BTCUSDT,8792.54000000,8804.21000000,8790.24000000,8803.00000000,58.09311800
20200227,0553,BTCUSDT,8803.04000000,8804.73000000,8794.04000000,8795.98000000,40.42176100
20200227,0554,BTCUSDT,8795.59000000,8797.08000000,8793.00000000,8796.32000000,27.91596800
20200227,0555,BTCUSDT,8794.77000000,8810.60000000,8793.58000000,8810.00000000,21.39168900
20200227,0556,BTCUSDT,8810.01000000,8812.40000000,8803.09000000,8804.10000000,19.67581600
20200227,0557,BTCUSDT,8804.98000000,8807.29000000,8800.01000000,8800.18000000,20.80460800
20200227,0558,BTCUSDT,8800.18000000,8800.98000000,8796.65000000,8799.50000000,9.48514800
20200227,0559,BTCUSDT,8799.47000000,8812.37000000,8796.72000000,8804.35000000,28.53849100
20200227,0600,BTCUSDT,8804.17000000,8809.08000000,8801.00000000,8807.34000000,17.26118000
20200227,0601,BTCUSDT,8807.35000000,8812.98000000,8804.78000000,8812.98000000,26.74997500
